filename,object_id,shape,predicted_shape,predicted_class,group,batch_number,row,column
l_KoQJ-fQcinvOgcd1lRXw.jpg,66,rect,circle,circle-750.0,1,0,2,c
l_KoQJ-fQcinvOgcd1lRXw.jpg,67,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,3,d
l_KoQJ-fQcinvOgcd1lRXw.jpg,87,rect,pentagon,pentagon-915.0,1,0,4,e
l_KoQJ-fQcinvOgcd1lRXw.jpg,88,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,0,a
l_KoQJ-fQcinvOgcd1lRXw.jpg,89,rect,circle,circle-750.0,1,0,1,b
l_KoQJ-fQcinvOgcd1lRXw.jpg,90,other,other,other-0.0-0.0triangle_inverted-1220.0,3,0,3,d
l_KoQJ-fQcinvOgcd1lRXw.jpg,94,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,2,c
l_KoQJ-fQcinvOgcd1lRXw.jpg,95,rect,rect,rect-762.0-915.0,1,0,3,d
OTnWb2da1oYLW953tiLn6g.jpg,79,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,4,e
OTnWb2da1oYLW953tiLn6g.jpg,81,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,0,a
MRl2xDdjKmj6ie-3gCWB-Q.jpg,29,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,1,b
MRl2xDdjKmj6ie-3gCWB-Q.jpg,46,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,2,c
MRl2xDdjKmj6ie-3gCWB-Q.jpg,47,rect,pentagon,pentagon-915.0,1,0,3,d
MRl2xDdjKmj6ie-3gCWB-Q.jpg,54,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,4,e
jyAXjWIvUjw15ME3BJTBUg.jpg,5,circle,circle,circle-750.0,1,0,1,b
jyAXjWIvUjw15ME3BJTBUg.jpg,78,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,0,a
mX6fSF-HdImR5MTHguucIQ.jpg,49,diamond,square,square-600.0,2,0,3,d
mX6fSF-HdImR5MTHguucIQ.jpg,50,pentagon,other,other-0.0-0.0triangle_inverted-1220.0,3,0,2,c
pNrN-7Zm5JGpu1CUNueFRw.jpg,39,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,1,b
6kT-_TTvkewnHCGvhiWqqw.jpg,148,rect,rect,rect-458.0-610.0,1,0,2,c
HlrT5jFg7kAd7aKnPoWv0w.jpg,63,diamond,square,square-600.0,2,0,4,e
Al1ba1vRpEai0s2fYUpEkA.jpg,39,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,3,d
Al1ba1vRpEai0s2fYUpEkA.jpg,42,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,4,e
R0LF2x6W3BjkEC_DuX4BKA.jpg,70,pentagon,square,square-600.0,2,0,3,d
R0LF2x6W3BjkEC_DuX4BKA.jpg,76,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,0,a
_VRCNHFQA_35uzd6TOy19Q.jpg,13,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,1,b
Inv1WH5rteGBzsdl9Rk3mA.jpg,53,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,2,c
Inv1WH5rteGBzsdl9Rk3mA.jpg,88,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,3,d
AwEI2ef_Qt7skMGAaefVAg.jpg,28,diamond,square,square-600.0,2,0,0,a
AwEI2ef_Qt7skMGAaefVAg.jpg,71,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,4,e
6uN1KpRBO_-JKWUqovKBAg.jpg,31,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,0,a
verVsEbzsdbadSi1j0Icrg.jpg,58,other,other,other-0.0-0.0triangle_inverted-1220.0,3,0,4,e
verVsEbzsdbadSi1j0Icrg.jpg,74,other,other,other-0.0-0.0triangle_inverted-1220.0,3,0,0,a
