label,id,shape,width_inches,height_inches,page,width_mm,height_mm,target,target_inches
warning--texts--g3,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--traffic-merges-right--g1,w4-1,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--traffic-signals--g3,w3-3,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--trail-crossing--g2,w11-15,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--trucks-crossing--g1,w11-10,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--turn-left--g1,w1-1,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--turn-right--g1,w1-1,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--two-way-traffic--g2,w6-3,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--uneven-road--g2,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--wild-animals--g4,w11-3,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--winding-road-first-left--g1,w1-5,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--winding-road-first-right--g1,w1-5,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--wombat-crossing--g1,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
complementary--chevron-left--g1,w1-8,rect,18.0,24.0,,458.0,610.0,rect-458.0-610.0,rect-18.0-24.0
complementary--chevron-right--g1,w1-8,rect,18.0,24.0,,458.0,610.0,rect-458.0-610.0,rect-18.0-24.0
complementary--one-direction-left--g1,w1-6,rect,48.0,24.0,,1220.0,610.0,rect-1220.0-610.0,rect-48.0-24.0
complementary--one-direction-right--g1,w1-6,rect,48.0,24.0,,1220.0,610.0,rect-1220.0-610.0,rect-48.0-24.0
regulatory--bicycles-only--g3,r3-17,rect,24.0,18.0,,610.0,458.0,rect-610.0-458.0,rect-24.0-18.0
regulatory--do-not-block-intersection--g1,r10-7,rect,24.0,30.0,,610.0,762.0,rect-610.0-762.0,rect-24.0-30.0
regulatory--dual-lanes-go-straight-on-left--g1,r3-8,rect,,,,,,-1,-1
regulatory--dual-lanes-go-straight-on-right--g1,r3-8,rect,,,,,,-1,-1
regulatory--dual-lanes-turn-left-or-straight--g1,r3-8,rect,,,,,,-1,-1
regulatory--go-straight--g3,r3-5a,rect,30.0,36.0,,762.0,915.0,rect-762.0-915.0,rect-30.0-36.0
regulatory--go-straight-or-turn-left--g2,r3-6,rect,30.0,36.0,,762.0,915.0,rect-762.0-915.0,rect-30.0-36.0
regulatory--keep-left--g2,r4-8b,rect,48.0,60.0,,1220.0,1524.0,rect-1220.0-1524.0,rect-48.0-60.0
regulatory--keep-right--g4,r4-7,rect,24.0,30.0,,610.0,762.0,rect-610.0-762.0,rect-24.0-30.0
regulatory--lane-control--g1,r3-7,rect,36.0,36.0,,915.0,915.0,rect-915.0-915.0,rect-36.0-36.0
regulatory--left-turn-yield-on-green--g1,r10-21,rect,30.0,36.0,,762.0,915.0,rect-762.0-915.0,rect-30.0-36.0
regulatory--maximum-speed-limit-25--g2,r2-1,rect,36.0,48.0,,915.0,1220.0,rect-915.0-1220.0,rect-36.0-48.0
regulatory--maximum-speed-limit-30--g3,r2-1,rect,36.0,48.0,,915.0,1220.0,rect-915.0-1220.0,rect-36.0-48.0
regulatory--maximum-speed-limit-35--g2,r2-1,rect,36.0,48.0,,915.0,1220.0,rect-915.0-1220.0,rect-36.0-48.0
regulatory--maximum-speed-limit-40--g3,r2-1,rect,36.0,48.0,,915.0,1220.0,rect-915.0-1220.0,rect-36.0-48.0
regulatory--maximum-speed-limit-45--g3,r2-1,rect,36.0,48.0,,915.0,1220.0,rect-915.0-1220.0,rect-36.0-48.0
regulatory--maximum-speed-limit-55--g2,r2-1,rect,36.0,48.0,,915.0,1220.0,rect-915.0-1220.0,rect-36.0-48.0
regulatory--maximum-speed-limit-65--g2,r2-1,rect,36.0,48.0,,915.0,1220.0,rect-915.0-1220.0,rect-36.0-48.0
regulatory--no-parking-or-no-stopping--g1,r7-1,rect,18.0,24.0,,458.0,610.0,rect-458.0-610.0,rect-18.0-24.0
regulatory--no-parking-or-no-stopping--g2,r7-1,rect,18.0,24.0,,458.0,610.0,rect-458.0-610.0,rect-18.0-24.0
regulatory--no-parking-or-no-stopping--g3,r7-1d,rect,18.0,24.0,,458.0,610.0,rect-458.0-610.0,rect-18.0-24.0
regulatory--no-turn-on-red--g1,r10-11a,rect,36.0,48.0,,915.0,1220.0,rect-915.0-1220.0,rect-36.0-48.0
regulatory--no-turn-on-red--g2,r10-11b,rect,36.0,36.0,,915.0,915.0,rect-915.0-915.0,rect-36.0-36.0
regulatory--one-way-left--g2,r6-2,rect,30.0,36.0,,762.0,915.0,rect-762.0-915.0,rect-30.0-36.0
regulatory--one-way-left--g3,r6-1,rect,54.0,18.0,,1372.0,458.0,rect-1372.0-458.0,rect-54.0-18.0
regulatory--one-way-right--g2,r6-2,rect,30.0,36.0,,762.0,915.0,rect-762.0-915.0,rect-30.0-36.0
regulatory--one-way-right--g3,r6-1,rect,54.0,18.0,,1372.0,458.0,rect-1372.0-458.0,rect-54.0-18.0
regulatory--road-closed--g2,r11-2,rect,48.0,30.0,,1220.0,762.0,rect-1220.0-762.0,rect-48.0-30.0
regulatory--stop-here-on-red-or-flashing-light--g1,r10-6,rect,24.0,36.0,,610.0,915.0,rect-610.0-915.0,rect-24.0-36.0
regulatory--turn-left--g2,r3-5,rect,30.0,36.0,,762.0,915.0,rect-762.0-915.0,rect-30.0-36.0
regulatory--turn-right--g3,r3-5,rect,30.0,36.0,,762.0,915.0,rect-762.0-915.0,rect-30.0-36.0
regulatory--wrong-way--g1,r5-1a,rect,42.0,30.0,,1067.0,762.0,rect-1067.0-762.0,rect-42.0-30.0
warning--school-zone--g2,s1-1,pentagon,36.0,36.0,,915.0,915.0,pentagon-915.0-915.0,pentagon-36.0-36.0
regulatory--stop--g1,r1-1,octagon,36.0,36.0,,915.0,915.0,octagon-915.0-915.0,octagon-36.0-36.0
regulatory--yield--g1,r1-2,triangle_inverted,48.0,48.0,,1220.0,1220.0,triangle_inverted-1220.0-1220.0,triangle_inverted-48.0-48.0
warning--pedestrians-crossing--g5,,triangle,,,29.0,,900.0,triangle-900.0,triangle-35.43
warning--road-bump--g1,,triangle,,,38.0,,900.0,triangle-900.0,triangle-35.43
warning--other-danger--g1,,triangle,,,41.0,,900.0,triangle-900.0,triangle-35.43
warning--slippery-road-surface--g1,,triangle,,,345.0,,900.0,triangle-900.0,triangle-35.43
warning--other-danger--g1,,triangle,,,41.0,,900.0,triangle-900.0,triangle-35.43
warning--curve-right--g1,,triangle,,,31.0,,900.0,triangle-900.0,triangle-35.43
warning--junction-with-a-side-road-perpendicular-right--g1,,triangle,,,30.0,,900.0,triangle-900.0,triangle-35.43
warning--roadworks--g1,,triangle,,,348.0,,900.0,triangle-900.0,triangle-35.43
warning--pedestrians-crossing--g1,,triangle,,,35.0,,900.0,triangle-900.0,triangle-35.43
regulatory--no-entry--g1,,circle,,,60.0,,750.0,circle-750.0,circle-29.53
regulatory--keep-right--g1,,circle,,,58.0,,750.0,circle-750.0,circle-29.53
regulatory--maximum-speed-limit-50--g1,,circle,,,166.0,,750.0,circle-750.0,circle-29.53
regulatory--no-stopping--g15,,circle,,,59.0,,750.0,circle-750.0,circle-29.53
regulatory--no-parking--g1,,circle,,,90.0,,750.0,circle-750.0,circle-29.53
regulatory--maximum-speed-limit-60--g1,,circle,,,166.0,,750.0,circle-750.0,circle-29.53
regulatory--no-heavy-goods-vehicles--g2,,circle,,,60.0,,750.0,circle-750.0,circle-29.53
regulatory--maximum-speed-limit-30--g1,,circle,,,166.0,,750.0,circle-750.0,circle-29.53
regulatory--maximum-speed-limit-40--g1,,circle,,,166.0,,750.0,circle-750.0,circle-29.53
regulatory--roundabout--g1,,circle,,,131.0,,750.0,circle-750.0,circle-29.53
regulatory--maximum-speed-limit-70--g1,,circle,,,166.0,,750.0,circle-750.0,circle-29.53
regulatory--shared-path-pedestrians-and-bicycles--g1,,circle,,,63.0,,750.0,circle-750.0,circle-29.53
regulatory--height-limit--g1,,circle,,,62.0,,750.0,circle-750.0,circle-29.53
regulatory--no-heavy-goods-vehicles--g1,,circle,,,60.0,,750.0,circle-750.0,circle-29.53
regulatory--keep-left--g1,,circle,,,58.0,,750.0,circle-750.0,circle-29.53
regulatory--go-straight--g1,,circle,,,58.0,,750.0,circle-750.0,circle-29.53
regulatory--no-u-turn--g1,,circle,,,59.0,,750.0,circle-750.0,circle-29.53
regulatory--no-stopping--g2,,circle,,,59.0,,750.0,circle-750.0,circle-29.53
regulatory--maximum-speed-limit-90--g1,,circle,,,166.0,,750.0,circle-750.0,circle-29.53
regulatory--no-left-turn--g1,,circle,,,59.0,,750.0,circle-750.0,circle-29.53
regulatory--no-heavy-goods-vehicles--g4,,circle,,,60.0,,750.0,circle-750.0,circle-29.53
regulatory--maximum-speed-limit-80--g1,,circle,,,166.0,,750.0,circle-750.0,circle-29.53
regulatory--turn-right--g1,,circle,,,58.0,,750.0,circle-750.0,circle-29.53
regulatory--no-overtaking--g1,,circle,,,59.0,,750.0,circle-750.0,circle-29.53
regulatory--no-right-turn--g1,,circle,,,59.0,,750.0,circle-750.0,circle-29.53
